Item's sold ,Price ,Avg. Cost per item ,Profit ,Platform ,Total Profit ,Month
1,$18.57,$4.00,$14.57,depop,$14.57,January 
1,$18.73,$4.00,$14.73,depop,$29.30,January 
1,$14.64,$4.00,$10.64,depop,$39.94,January 
1,$9.01,$4.00,$5.01,depop,$44.95,January 
1,$13.76,$4.00,$9.76,depop,$54.71,January 
7,$27.96,$4.00,-$0.04,depop,$54.67,January 
1,$9.95,$4.00,$5.95,depop,$60.62,February
1,$3.70,$4.00,-$0.30,depop,$60.32,March 
1,$6.26,$4.00,$2.26,depop,$62.58,March 
1,$8.03,$4.00,$4.03,depop,$66.61,March 
1,$9.00,$4.00,$5.00,depop,$71.61,April
1,$6.36,$4.00,$2.36,depop,$73.97,June
1,$10.83,$4.00,$6.83,depop,$80.80,June
1,$17.15,$4.00,$13.15,depop,$93.95,June
1,$5.59,$4.00,$1.59,depop,$95.54,June
1,$7.31,$4.00,$3.31,depop,$98.85,June
1,$9.76,$4.00,$5.76,depop,$104.61,June
1,$6.10,$4.00,$2.10,depop,$106.71,June
1,$7.05,$4.00,$3.05,depop,$109.76,June
1,$19.42,$4.00,$15.42,depop,$125.18,June
1,$26.24,$4.00,$22.24,depop,$147.42,June
1,$6.73,$4.00,$2.73,depop,$150.15,June
1,$6.60,$4.00,$2.60,depop,$152.75,June
1,$5.11,$4.00,$1.11,depop,$153.86,June
1,$5.08,$4.00,$1.08,depop,$154.94,June
2,$33.72,$4.00,$25.72,depop,$180.66,June
1,$10.91,$4.00,$6.91,depop,$187.57,June
1,$0.34,$4.00,-$3.66,depop,$183.91,June
2,$23.44,$4.00,$15.44,depop,$199.35,June
1,$7.19,$4.00,$3.19,depop,$202.54,June
1,$3.69,$4.00,-$0.31,depop,$202.23,July
1,$4.79,$4.00,$0.79,depop,$203.02,July
1,$11.91,$4.00,$7.91,depop,$210.93,July
1,$0.33,$4.00,-$3.67,depop,$207.26,July
1,$8.13,$4.00,$4.13,depop,$211.39,July
1,$7.11,$4.00,$3.11,depop,$214.50,July
1,$10.81,$4.00,$6.81,depop,$221.31,July
1,$7.06,$4.00,$3.06,depop,$224.37,July
20,$187.34,$4.00,$107.34,depop,$331.71,July
1,$3.45,$4.00,-$0.55,depop,$331.16,August
1,$13.28,$4.00,$9.28,depop,$340.44,August
1,$4.82,$4.00,$0.82,depop,$341.26,August
1,$18.55,$4.00,$14.55,depop,$355.81,August
1,$8.97,$4.00,$4.97,depop,$360.78,August
1,$28.25,$4.00,$24.25,depop,$385.03,August
1,$6.97,$4.00,$2.97,depop,$388.00,August
1,$8.21,$4.00,$4.21,depop,$392.21,August
1,$14.73,$4.00,$10.73,depop,$402.94,August
1,$5.52,$4.00,$1.52,depop,$404.46,August
2,$33.42,$4.00,$25.42,depop,$429.88,September 
1,$11.91,$4.00,$7.91,depop,$437.79,September 
1,$6.82,$4.00,$2.82,depop,$440.61,September 
1,$2.24,$4.00,-$1.76,depop,$438.85,September 
1,$7.30,$4.00,$3.30,depop,$442.15,September 
1,$20.75,$4.00,$16.75,depop,$458.90,September 
1,$0.10,$4.00,-$3.90,depop,$455.00,September 
1,$6.98,$4.00,$2.98,depop,$457.98,September 
1,$23.45,$4.00,$19.45,depop,$477.43,September 
1,$10.89,$4.00,$6.89,depop,$484.32,September 
1,$12.63,$4.00,$8.63,depop,$492.95,September 
1,$8.99,$4.00,$4.99,depop,$497.94,September 
50,$116.10,$2.00,$16.10,whatnot,$514.04,July
0,$150 bonus,,$0.00,whatnot,$514.04,July
3,$11.98,$2.00,$5.98,whatnot,$520.02,July
22,$60.84,$2.00,$16.84,whatnot,$536.86,july
12,$39.70,$2.00,$15.70,whatnot,$552.56,july
12,$30.61,$2.00,$6.61,whatnot,$559.17,july
30,$47.18,$2.00,-$12.82,whatnot,$546.35,july
22,$56.74,$2.00,$12.74,whatnot,$559.09,july
2,$58.60,$2.00,$54.60,whatnot,$613.69,july
43,$104.45,$2.00,$18.45,whatnot,$632.14,july
15,$77.81,$2.00,$47.81,whatnot,$679.95,july
20,$41,$2.00,$0.64,whatnot,$680.59,august
21,$43.87,$2.00,$1.87,whatnot,$682.46,august
9,$35.56,$2.00,$17.56,whatnot,$700.02,september 
5,$14.28,$2.00,$4.28,whatnot,$704.30,september 
10,$27.18,$2.00,$7.18,whatnot,$711.48,september 
2,$1,$2.00,-$3.00,whatnot,$708.48,november 
8,$20,$2.00,$4.00,whatnot,$712.48,november 
3,$13,$2.00,$7.00,whatnot,$719.48,november 
giveaway,-$4.74,$0.00,$0.00,whatnot,$719.48,november 
1,$3.18,$4.00,-$0.82,depop,$718.66,december 
1,$7.26,$4.00,$3.26,depop,$721.92,december 
1,$7.27,$4.00,$3.27,depop,$725.19,december 
1,$9.18,$4.00,$5.18,depop,$730.37,december 
2,$10.76,$4.00,$2.76,depop,$733.13,december 
1,$28.12,$4.00,$24.12,depop,$757.25,december 
1,$17.64,$4.00,$13.64,depop,$770.89,december 
1,$5.12,$4.00,$1.12,depop,$772.01,december 
1,$17.46,$4.00,$13.46,depop,$785.47,december 
1,$7.82,$4.00,$3.82,depop,$789.29,december 
1,$18.05,$4.00,$14.05,depop,$803.34,december 
1,$4.19,$4.00,$0.19,depop,$803.53,december 
1,$7.09,$4.00,$3.09,depop,$806.62,december 
1,$2.21,$4.00,-$1.79,depop,$804.83,december 
1,$2.79,$4.00,-$1.21,depop,$803.62,december 
1,$7.05,$4.00,$3.05,depop,$806.67,december 
1,$7,$4.00,$3.07,depop,$809.74,december 
1,$23.46,$4.00,$19.46,depop,$829.20,december 
1,$7.03,$4.00,$3.03,depop,$832.23,december 
1,$6.06,$4.00,$2.06,depop,$834.29,december 
1,$18.61,$4.00,$14.61,depop,$848.90,december 
1,$7.09,$4.00,$3.09,depop,$851.99,december 
1,$7.03,$4.00,$3.03,depop,$855.02,december 
1,$5.12,$4.00,$1.12,depop,$856.14,december 
1,$4.17,$4.00,$0.17,depop,$856.31,december 
1,$5.11,$4.00,$1.11,depop,$857.42,december 
1,$8.99,$4.00,$4.99,depop,$862.41,december 
1,$12.78,$4.00,$8.78,depop,$871.19,december 
1,$5.12,$4.00,$1.12,depop,$872.31,december 
1,$12.44,$4.00,$8.44,depop,$880.75,december 
1,$23.33,$4.00,$19.33,depop,$900.08,december 
1,$27.20,$4.00,$23.20,depop,$923.28,december 
1,$4.17,$4.00,$0.17,depop,$923.45,december 
1,$7.95,$4.00,$3.95,depop,$927.40,december 
1,$11.86,$4.00,$7.86,depop,$935.26,december 
1,$9.99,$4.00,$5.99,depop,$941.25,january 
1,$5.08,$4.00,$1.08,depop,$942.33,january 
1,$6.07,$4.00,$2.07,depop,$944.40,january 
1,$18.20,$4.00,$14.20,depop,$958.60,january 
1,$6.76,$4.00,$2.76,depop,$961.36,january 
1,$5.90,$4.00,$1.90,depop,$963.26,january 
1,,,$0.00,,,
1,,,$0.00,,,
1,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,
,,,$0.00,,,